Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
click,Chrome 62.0.3202.94,,2018-06-18 17:51:28,2018-06-18 17:51:29,0.386s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:51:29,2018-06-18 17:51:29,0.204s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:51:29,2018-06-18 17:51:29,0.179s,PASSED
selectOptionByIndex,Chrome 62.0.3202.94,,2018-06-18 17:51:29,2018-06-18 17:51:29,0.120s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:51:29,2018-06-18 17:51:29,0.156s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:51:29,2018-06-18 17:51:30,0.200s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:51:30,2018-06-18 17:51:30,0.350s,PASSED
verifyTextPresent,Chrome 62.0.3202.94,,2018-06-18 17:51:30,2018-06-18 17:51:30,0.097s,PASSED
appmanage.startTest.closebrowser,Chrome 62.0.3202.94,,2018-06-18 17:51:30,2018-06-18 17:51:30,0.223s,PASSED
,,,,,,
Test Cases/EditApp/EditAppValid,Chrome 62.0.3202.94,,2018-06-18 17:51:30,2018-06-18 17:51:34,4.147s,PASSED
appmanage.startTest.openbrowser,Chrome 62.0.3202.94,,2018-06-18 17:51:30,2018-06-18 17:51:33,2.467s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:51:33,2018-06-18 17:51:33,0.141s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:51:33,2018-06-18 17:51:33,0.290s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:51:33,2018-06-18 17:51:33,0.122s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:51:33,2018-06-18 17:51:33,0.137s,PASSED
selectOptionByIndex,Chrome 62.0.3202.94,,2018-06-18 17:51:33,2018-06-18 17:51:33,0.128s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:51:33,2018-06-18 17:51:34,0.112s,PASSED
sendKeys,Chrome 62.0.3202.94,,2018-06-18 17:51:34,2018-06-18 17:51:34,0.143s,PASSED
click,Chrome 62.0.3202.94,,2018-06-18 17:51:34,2018-06-18 17:51:34,0.381s,PASSED
verifyTextPresent,Chrome 62.0.3202.94,,2018-06-18 17:51:34,2018-06-18 17:51:34,0.087s,PASSED
appmanage.startTest.closebrowser,Chrome 62.0.3202.94,,2018-06-18 17:51:34,2018-06-18 17:51:34,0.122s,PASSED
